,stem,ccc_baseline,lag_baseline,ccc_ftrick,lag_ftrick,ccc_smooth,lag_smooth,ccc_ftrick_smooth,lag_ftrick_smooth
0,Subject_10_Story_1,0.017401564196288417,-10.0,0.04390883860468152,-10.0,0.01949355160204332,-10.0,0.0602350452114828,-10.0
1,Subject_1_Story_1,0.02448107372735903,10.0,0.04185113339390024,10.0,0.030659741392936327,10.0,0.06492536337682968,10.0
2,Subject_2_Story_1,0.0051275683936915775,-7.0,0.03221558936070153,-7.0,0.0053071918650753015,-10.0,0.06224706745199001,-10.0
3,Subject_3_Story_1,0.005498932211663436,-10.0,0.01643627933276097,-10.0,0.0060768805791310025,-10.0,0.024288319920896032,-10.0
4,Subject_4_Story_1,0.027754155100297842,-9.0,0.07575781618816643,-9.0,0.03230524086350582,-10.0,0.12477961082114555,-10.0
5,Subject_5_Story_1,0.03793595442227045,-10.0,0.08405705864341964,-10.0,0.042978502958718606,-10.0,0.11098536516164575,-10.0
6,Subject_6_Story_1,0.03526590717595782,9.0,0.07388392960643597,9.0,0.044271910405142764,10.0,0.12560243192841872,10.0
7,Subject_7_Story_1,0.0030368591761047157,-1.0,0.007631127242848591,-1.0,0.0027651187487746157,10.0,0.009406902263124288,10.0
8,Subject_8_Story_1,0.04763871215546273,-8.0,0.13217214331195995,-8.0,0.05471529555385059,-10.0,0.2309519929553821,-10.0
9,Subject_9_Story_1,0.0005539114411511192,8.0,0.0020599474353338552,8.0,0.00017314873518543513,-10.0,0.0019184381347750567,-10.0
mean,,0.020469463800024713,-2.8,0.05099738631202087,-2.8,0.023874658270436378,-4.0,0.081534053722569,-4.0
