file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,0.043899850026914024,-10,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.0418523748949351,10,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.032224641578395,-7,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.01648985008613069,-10,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.07576251009014377,-9,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.08405279656876201,-10,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.07397427350516131,9,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.0076517288916153085,-1,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.13212629123646888,-8,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.0020712572091735296,8,speech\runs\compare\run_20250918_153529\best_model\ftrick\Subject_9_Story_1_pred.csv
