file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.0032575387827582687,10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.10499736157021097,10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.06362425047249104,10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.12513560115280975,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.050090445459023185,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.07803984032901672,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.11738397996676227,10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.015230269017723577,10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.02684098782382329,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.008371037809344768,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\Subject_9_Story_1_pred.csv
