model,variant,n_files,mean_CCC,min_CCC,max_CCC,summary_csv
best_model,baseline,10,0.02047647621015227,0.0005570116336815501,0.0476269273785841,speech\runs\compare\run_20250918_153529\best_model\baseline\summary.csv
best_model,ftrick,10,0.05101055740876996,0.0020712572091735296,0.13212629123646888,speech\runs\compare\run_20250918_153529\best_model\ftrick\summary.csv
best_model,smooth,10,0.02388572668253983,0.00017538803289212274,0.054707832954393715,speech\runs\compare\run_20250918_153529\best_model\smooth\summary.csv
best_model,ftrick_smooth,10,0.0815623843709738,0.0019432100964871981,0.23087413376672455,speech\runs\compare\run_20250918_153529\best_model\ftrick_smooth\summary.csv
best_model_20250918_115241,baseline,10,0.045314268258592805,-0.0013341411297497835,0.09465963718614585,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\baseline\summary.csv
best_model_20250918_115241,ftrick,10,0.0728957972014309,-0.0030344661364511347,0.16816019250064848,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\ftrick\summary.csv
best_model_20250918_115241,smooth,10,0.058645623481844725,-0.0032575387827582687,0.12513560115280975,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\smooth\summary.csv
best_model_20250918_115241,ftrick_smooth,10,0.10250581447405074,-0.008317472612193627,0.25023563945750177,speech\runs\compare\run_20250918_153529\best_model_20250918_115241\ftrick_smooth\summary.csv
best_model_20250918_142610,baseline,10,0.09109449835253258,-0.003910393068891655,0.1819451068920843,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\summary.csv
best_model_20250918_142610,ftrick,10,0.15103093059085232,-0.006984025463590483,0.2847704502565413,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\ftrick\summary.csv
best_model_20250918_142610,smooth,10,0.15061810428742983,-0.005036617430519187,0.3382090999201191,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\smooth\summary.csv
best_model_20250918_142610,ftrick_smooth,10,0.2023148814517061,-0.008385122626859455,0.36540829691955556,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\ftrick_smooth\summary.csv
