file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,0.06022673094193725,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.06491741051625874,10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.06227298136267372,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.02437354245387658,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.12479069688744518,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.11098480824796385,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.12579369985464076,10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.009446629581730141,10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.23087413376672455,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.0019432100964871981,-10,speech\runs\compare\run_20250918_155108\best_model\ftrick_smooth\Subject_9_Story_1_pred.csv
