file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.0013341411297497835,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.07155482288484118,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.056407751261314754,0,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.09465963718614585,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.03887584637585521,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.06644197137504917,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.09455034955544087,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.010192894273526177,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.013152559935390298,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.008640990868114345,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\baseline\Subject_9_Story_1_pred.csv
