file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.006984025463590483,-9,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.14319735804952125,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.0927270649500224,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.2272344092940194,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.2583430855166897,5,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.20302760173691772,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.2847704502565413,8,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.12986160062912866,-7,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.14512814267425536,-8,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.03300361826501805,-7,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick\Subject_9_Story_1_pred.csv
