file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.008385122626859455,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.20188850363914082,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.14061340662125493,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.2914603313776995,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.3484792663016892,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.23332381837474758,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.36540829691955556,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.18781672176542638,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.19386678123543644,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.06867681090897011,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\ftrick_smooth\Subject_9_Story_1_pred.csv
