frame_idx,time_s,target,pred_baseline,pred_ftrick,pred_smooth,pred_ftrick_smooth
0,0.0,0.0,-0.23089194,0.3163168,-0.4013509,0.16365801
1,0.04,0.2,-1.0656967,-0.43131357,-0.40761876,0.15804468
2,0.08,0.2,-0.7629596,-0.16018976,-0.41391683,0.15240428
3,0.12,0.2,-0.26078457,0.2895457,-0.42024186,0.14673974
4,0.16,0.2,0.024912834,0.5454092,-0.42659056,0.141054
5,0.2,0.2,-0.36733228,0.19412422,-0.43295956,0.13535006
6,0.24,0.2,-0.574237,0.008825503,-0.43934554,0.12963095
7,0.28,0.0,-0.8787862,-0.26392117,-0.44574505,0.123899706
8,0.32,0.0,-0.626717,-0.03817425,-0.45215473,0.11815937
9,0.36,0.0,-1.3047409,-0.64539564,-0.4585711,0.112413004
10,0.4,0.0,-1.0845639,-0.4482105,-0.4649908,0.10666369
11,0.44,0.0,-0.20555472,0.33900818,-0.47141036,0.1009145
12,0.48,0.0,-0.28502965,0.26783243,-0.47782633,0.0951685
13,0.52,0.0,0.112214565,0.6235944,-0.48423535,0.08942876
14,0.56,0.0,-0.46654338,0.105273224,-0.49063393,0.083698325
15,0.6,0.0,-1.0953707,-0.4578888,-0.49701878,0.077980235
16,0.64,0.0,-0.9756365,-0.35065788,-0.50338644,0.072277516
17,0.68,0.0,-1.3930398,-0.72447395,-0.5097336,0.06659315
18,0.72,0.0,0.169608,0.6749946,-0.51605695,0.060930107
19,0.76,0.0,-0.50065887,0.074720256,-0.52235323,0.05529133
20,0.8,0.0,-0.52403355,0.053786464,-0.52861917,0.04967971
21,0.84,0.0,-0.192276,0.3509003,-0.53485155,0.04409812
22,0.88,0.0,-0.8221266,-0.21317828,-0.5410473,0.03854938
23,0.92,0.0,-1.3837734,-0.7161752,-0.54720324,0.033036266
24,0.96,0.0,-0.6627716,-0.070463866,-0.55331635,0.02756151
25,1.0,0.0,-0.44013065,0.1289278,-0.5593837,0.022127787
26,1.04,0.0,-0.34628415,0.2129744,-0.5654022,0.016737724
27,1.08,0.0,0.6611366,1.1151954,-0.5713692,0.011393883
28,1.12,0.0,-1.2045087,-0.5556301,-0.57728165,0.0060987724
29,1.16,0.0,-0.1800924,0.36181158,-0.5831371,0.00085483264
30,1.2,0.0,-0.7503289,-0.14887802,-0.5889327,-0.004335562
31,1.24,0.0,-0.86264896,-0.24946907,-0.5946659,-0.009470107
32,1.28,0.0,-0.28550702,0.26740488,-0.6003343,-0.014546575
33,1.32,0.0,-0.8728912,-0.25864175,-0.60593545,-0.019562814
34,1.36,0.0,-0.90458316,-0.2870243,-0.611467,-0.024516758
35,1.4,0.0,-1.2826201,-0.6255847,-0.6169268,-0.029406423
36,1.44,0.0,-1.131725,-0.49044684,-0.6223127,-0.034229912
37,1.48,0.0,-0.882413,-0.26716927,-0.6276227,-0.038985427
38,1.52,0.0,-1.1993053,-0.55097014,-0.63285494,-0.04367126
39,1.56,0.0,-1.1808476,-0.5344399,-0.6380075,-0.0482858
40,1.6,0.0,-0.59651107,-0.011122599,-0.64307886,-0.052827545
41,1.64,0.0,-0.10470539,0.42932636,-0.6480673,-0.057295073
42,1.68,0.0,-1.7517092,-1.0456893,-0.65297145,-0.061687082
43,1.72,0.0,-1.0973016,-0.45961812,-0.6577899,-0.06600238
44,1.76,0.0,-1.8227382,-1.1093011,-0.6625214,-0.07023984
45,1.8,0.0,-1.8002348,-1.0891476,-0.667165,-0.074398495
46,1.84,0.0,-0.77852,-0.17412525,-0.67171955,-0.07847745
47,1.88,0.0,-0.3749169,0.18733162,-0.67618424,-0.08247591
48,1.92,0.0,-1.0328116,-0.40186253,-0.6805583,-0.08639321
49,1.96,0.0,-0.72043806,-0.122108534,-0.6848411,-0.09022875
50,2.0,0.0,-0.26236367,0.28813148,-0.689032,-0.09398208
51,2.04,0.0,-0.9863931,-0.36029124,-0.6931308,-0.09765279
52,2.08,0.0,-0.90080667,-0.28364217,-0.69713694,-0.10124062
53,2.12,0.0,-1.2183242,-0.56800294,-0.70105034,-0.104745366
54,2.16,0.0,-0.079732955,0.45169103,-0.7048709,-0.10816694
55,2.2,0.0,-0.7810599,-0.17639996,-0.70859855,-0.11150534
56,2.24,0.0,-1.115224,-0.475669,-0.7122334,-0.11476064
57,2.28,0.2,-0.7901143,-0.18450882,-0.71577567,-0.11793302
58,2.32,0.2,-0.5041981,0.07155063,-0.71922565,-0.12102273
59,2.36,0.2,-1.4817858,-0.8039526,-0.7225837,-0.12403012
60,2.4,0.2,-1.462878,-0.7870192,-0.72585034,-0.1269556
61,2.44,0.2,-1.3824909,-0.7150265,-0.729026,-0.12979968
62,2.48,0.2,-1.0709704,-0.4360366,-0.73211145,-0.13256294
63,2.52,0.1,0.042731404,0.56136703,-0.73510736,-0.135246
64,2.56,0.0,-0.29387885,0.25990728,-0.7380145,-0.13784958
65,2.6,0.0,-0.86906034,-0.25521094,-0.7408339,-0.14037448
66,2.64,0.0,-0.9709108,-0.34642568,-0.7435662,-0.14282154
