,stem,ccc_baseline,lag_baseline,ccc_ftrick,lag_ftrick,ccc_smooth,lag_smooth,ccc_ftrick_smooth,lag_ftrick_smooth
0,Subject_10_Story_1,0.01739898084769782,-10.0,0.043899850026914024,-10.0,0.019492636392371438,-10.0,0.06022673094193725,-10.0
1,Subject_1_Story_1,0.024483256632721037,10.0,0.0418523748949351,10.0,0.03065865058451944,10.0,0.06491741051625874,10.0
2,Subject_2_Story_1,0.005129007995844306,-7.0,0.032224641578395,-7.0,0.005309364449362831,-10.0,0.06227298136267372,-10.0
3,Subject_3_Story_1,0.005516883967990902,-10.0,0.01648985008613069,-10.0,0.006098308132532844,-10.0,0.02437354245387658,-10.0
4,Subject_4_Story_1,0.027757602901049186,-9.0,0.07576251009014377,-9.0,0.03231065526717736,-10.0,0.12479069688744518,-10.0
5,Subject_5_Story_1,0.03793710073129338,-10.0,0.08405279656876201,-10.0,0.04298218785962097,-10.0,0.11098480824796385,-10.0
6,Subject_6_Story_1,0.03531278107561321,9.0,0.07397427350516131,9.0,0.04434521392333031,10.0,0.12579369985464076,10.0
7,Subject_7_Story_1,0.003045208937047241,-1.0,0.0076517288916153085,-1.0,0.0027770292291972687,10.0,0.009446629581730141,10.0
8,Subject_8_Story_1,0.0476269273785841,-8.0,0.13212629123646888,-8.0,0.054707832954393715,-10.0,0.23087413376672455,-10.0
9,Subject_9_Story_1,0.0005570116336815501,8.0,0.0020712572091735296,8.0,0.00017538803289212274,-10.0,0.0019432100964871981,-10.0
mean,,0.02047647621015227,-2.8,0.05101055740876996,-2.8,0.02388572668253983,-4.0,0.0815623843709738,-4.0
